iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,12/31/20,51526,121,124.429,2191,10,9.286,1323.612,3.108,3.196,56.283,0.257,0.239,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
ALB,Europe,Albania,12/31/20,58316,589,498.429,1181,7,8,20264.091,204.67,173.198,410.383,2.432,2.78,0.92,,,,,,,,,2350,247526,86.012,0.817,2208,0.767,0.226,4.4,tests performed,,,,,,,,,,56.48,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DZA,Africa,Algeria,12/31/20,99610,299,371.857,2756,5,7.286,2271.554,6.819,8.48,62.849,0.114,0.166,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
AND,Europe,Andorra,12/31/20,8049,66,50,84,0,0.143,104173.947,854.203,647.124,1087.168,0,1.849,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AGO,Africa,Angola,12/31/20,17553,120,74.857,405,0,1.714,534.073,3.651,2.278,12.323,0,0.052,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
ATG,North America,Antigua and Barbuda,12/31/20,159,1,0.714,5,0,0,1623.642,10.212,7.294,51.058,0,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ARG,South America,Argentina,12/31/20,1625514,11586,8807,43245,82,133,35966.059,256.351,194.863,956.837,1.814,2.943,1.18,,,,,,,,,27658,4421410,97.828,0.612,25838,0.572,0.196,5.1,tests performed,32013,,,,15656,0.07,,,346,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARM,Asia,Armenia,12/31/20,159409,531,466.714,2823,16,15.571,53795.617,179.196,157.502,952.675,5.4,5.255,0.66,,,,,,,,,2855,593903,200.424,0.963,2570,0.867,0.182,5.5,tests performed,,,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
AUS,Oceania,Australia,12/31/20,28425,20,21.571,909,0,0.143,1114.711,0.784,0.846,35.647,0,0.006,1.08,,,,,,,,,56285,11260636,441.596,2.207,53634,2.103,0,2486.4,tests performed,,,,,,,,,,70.83,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUT,Europe,Austria,12/31/20,360815,2913,1944.429,6222,73,68.143,40062.067,323.437,215.894,690.842,8.105,7.566,0.96,396,43.969,1946,216.069,,,,,26789,3836920,426.021,2.974,17948,1.993,0.108,9.2,tests performed,5011,5011,,8,1070,0.06,0.06,,119,82.41,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Asia,Azerbaijan,12/31/20,218700,1064,1234.143,2641,32,37.286,21569.802,104.94,121.72,260.475,3.156,3.677,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
BHS,North America,Bahamas,12/31/20,7871,14,11.857,170,0,0.143,20015.359,35.601,30.152,432.297,0,0.363,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHR,Asia,Bahrain,12/31/20,92675,250,229.286,352,0,0.286,54463.99,146.922,134.748,206.866,0,0.168,1.13,,,,,,,,,9988,2355313,1384.189,5.87,9129,5.365,0.025,39.8,units unclear,58643,58643,,1326,1225,3.45,3.45,,720,50.93,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BGD,Asia,Bangladesh,12/31/20,513510,1014,1058.286,7559,28,25.857,3118.052,6.157,6.426,45.899,0.17,0.157,0.83,,,,,,,,,13254,3224409,19.579,0.08,13135,0.08,0.081,12.4,tests performed,,,,,,,,,,80.09,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BRB,North America,Barbados,12/31/20,383,11,5.429,7,0,0,1332.772,38.278,18.89,24.359,0,0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,12/31/20,194284,1923,1881.571,1424,10,9.429,20560.631,203.507,199.122,150.699,1.058,0.998,0.99,,,,,,,,,,,,,20061,2.123,0.094,10.7,tests performed,,,,,403,,,,43,27.78,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
BEL,Europe,Belgium,12/31/20,646496,2254,1656,19528,87,70,55782.349,194.484,142.887,1684.957,7.507,6.04,0.9,494,42.624,2187,188.703,,,,,30510,6964607,600.935,2.633,25427,2.194,0.072,13.9,tests performed,786,786,,10,163,0.01,0.01,,14,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BLZ,North America,Belize,12/31/20,10776,52,40.857,248,6,2.857,27101.184,130.778,102.754,623.71,15.09,7.186,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BEN,Africa,Benin,12/31/20,3251,0,6.571,44,0,0,268.164,0,0.542,3.629,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BTN,Asia,Bhutan,12/31/20,670,15,21.571,,,0,868.312,19.44,27.956,,,0,1.12,,,,,,,,,7339,281699,365.079,9.511,6189,8.021,0.003,286.9,samples tested,,,,,,,,,,81.94,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
BOL,South America,Bolivia,12/31/20,160124,1752,1000.429,9165,16,12.714,13717.434,150.09,85.704,785.143,1.371,1.089,1.46,,,,,,,,,4260,414737,35.53,0.365,2522,0.216,0.397,2.5,tests performed,,,,,,,,,,52.78,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BIH,Europe,Bosnia and Herzegovina,12/31/20,110985,0,383.857,4050,0,24.571,33828.485,0,117.001,1234.449,0,7.489,0.86,,,,,,,,,2440,514380,156.784,0.744,2494,0.76,0.154,6.5,tests performed,,,,,,,,,,42.59,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BWA,Africa,Botswana,12/31/20,14805,105,111.429,42,2,0.286,6295.647,44.65,47.384,17.86,0.85,0.121,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BRA,South America,Brazil,12/31/20,7675973,56773,36004,194949,1074,709.571,36112.13,267.092,169.383,917.151,5.053,3.338,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,64.35,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRN,Asia,Brunei,12/31/20,157,0,0.714,3,0,0,358.871,0,1.633,6.857,0,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
BGR,Europe,Bulgaria,12/31/20,202266,1046,801.143,7576,61,79,29109.535,150.537,115.298,1090.316,8.779,11.369,0.75,467,67.209,4831,695.263,,,,,8473,1149545,165.439,1.219,4582,0.659,0.175,5.7,tests performed,,,,,1477,,,,213,53.7,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
BFA,Africa,Burkina Faso,12/31/20,6707,76,109.429,85,1,1.143,320.859,3.636,5.235,4.066,0.048,0.055,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BDI,Africa,Burundi,12/31/20,818,9,6.429,2,0,0,68.793,0.757,0.541,0.168,0,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
KHM,Asia,Cambodia,12/31/20,378,12,2.143,,,0,22.609,0.718,0.128,,,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594
CMR,Africa,Cameroon,12/31/20,26277,0,0,448,0,0,989.872,0,0,16.876,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
CAN,North America,Canada,12/31/20,584409,7143,6459.857,15762,112,122.857,15484.25,189.258,171.158,417.623,2.968,3.255,1.09,799,21.17,4187,110.937,,,,,100903,17965095,475.995,2.673,99420,2.634,0.065,15.4,tests performed,97582,,,13440,7455,0.26,,,198,70.83,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CPV,Africa,Cape Verde,12/31/20,11840,47,21.714,113,1,0.143,21295.424,84.534,39.055,203.242,1.799,0.257,1.1,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,64.81,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
CYM,North America,Cayman Islands,12/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,4184,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92,
CAF,Africa,Central African Republic,12/31/20,4963,0,2.143,63,0,0,1027.586,0,0.444,13.044,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397
TCD,Africa,Chad,12/31/20,2113,36,22.143,104,0,0.286,128.639,2.192,1.348,6.331,0,0.017,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
CHL,South America,Chile,12/31/20,608973,2023,2117.286,16608,109,43.571,31856.369,105.826,110.759,868.792,5.702,2.279,1.18,,,,,,,,,42570,6451428,337.485,2.227,34018,1.78,0.085,11.8,tests performed,8649,8649,,0,1176,0.05,0.05,,62,79.17,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,Asia,China,12/31/20,95963,87,82.857,4782,1,1.857,66.672,0.06,0.058,3.322,0.001,0.001,0.93,,,,,,,,,,,,,,,,,,4500000,,,,187500,0.31,,,130,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
COL,South America,Colombia,12/31/20,1642775,16314,11858.429,43213,304,251.286,32285.414,320.619,233.053,849.264,5.975,4.939,1.06,,,,,,,,,83388,8104617,159.28,1.639,53924,1.06,0.258,3.9,tests performed,,,,,,,,,,60.19,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
